Country,Donor,Sector,Year,Amount_USD,Region
India,Japan,II.1. Transport & Storage,2023,"2,846.85",South Asia
Pakistan,Saudi Arabia,VI.1. General Budget Support,2023,"2,000.00",South Asia
Indonesia,International Bank for Reconstruction and Development,"I.2.a. Health, General",2023,"1,484.00",Southeast Asia
Philippines,Asian Development Bank,II.1. Transport & Storage,2023,"1,014.69",Southeast Asia
Indonesia,Asian Infrastructure Investment Bank,I.2.b. Basic Health,2023,999.00,Southeast Asia
Indonesia,International Bank for Reconstruction and Development,"I.2.a. Health, General",2023,923.09,Southeast Asia
Indonesia,Islamic Development Bank,"I.2.a. Health, General",2023,845.58,Southeast Asia
India,Japan,II.1. Transport & Storage,2023,834.47,South Asia
Indonesia,International Bank for Reconstruction and Development,II.4. Banking & Financial Services,2023,818.18,Southeast Asia
Philippines,Japan,II.1. Transport & Storage,2023,731.03,Southeast Asia
Bangladesh,Japan,II.1. Transport & Storage,2023,726.72,South Asia
Bangladesh,Korea,II.1. Transport & Storage,2023,724.73,South Asia
India,Japan,II.1. Transport & Storage,2023,688.48,South Asia
Uzbekistan,Asian Infrastructure Investment Bank,VI.1. General Budget Support,2023,670.00,Central Asia
India,Japan,II.1. Transport & Storage,2023,664.89,South Asia
Indonesia,Asian Development Bank,"I.2.a. Health, General",2023,658.09,Southeast Asia
Philippines,Asian Development Bank,II.1. Transport & Storage,2023,650.00,Southeast Asia
Philippines,International Bank for Reconstruction and Development,II.4. Banking & Financial Services,2023,600.00,Southeast Asia
Sri Lanka,United States,II.5. Business & Other Services,2023,553.00,Other
India,International Bank for Reconstruction and Development,"II.3.b. Energy generation, renewable sources",2023,547.19,South Asia
India,International Bank for Reconstruction and Development,II.4. Banking & Financial Services,2023,546.94,South Asia
Bangladesh,Japan,II.1. Transport & Storage,2023,521.72,South Asia
Indonesia,Asian Infrastructure Investment Bank,I.6. Other Social Infrastructure & Services,2023,500.00,Southeast Asia
Indonesia,Asian Infrastructure Investment Bank,III.3.a. Trade Policies & Regulations,2023,500.00,Southeast Asia
Indonesia,Asian Development Bank,II.4. Banking & Financial Services,2023,500.00,Southeast Asia
Philippines,Asian Infrastructure Investment Bank,I.6. Other Social Infrastructure & Services,2023,500.00,Southeast Asia
Indonesia,International Finance Corporation,II.4. Banking & Financial Services,2023,500.00,Southeast Asia
Indonesia,Asian Development Bank,II.3.a. Energy Policy,2023,500.00,Southeast Asia
Ethiopia,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,497.26,Sub-Saharan Africa
Bangladesh,Japan,"II.3.c. Energy generation, non-renewable sources",2023,465.55,South Asia
Philippines,Asian Development Bank,"I.2.a. Health, General",2023,463.12,Southeast Asia
Philippines,Asian Infrastructure Investment Bank,"I.2.a. Health, General",2023,450.00,Southeast Asia
Nigeria,International Bank for Reconstruction and Development,II.3.a. Energy Policy,2023,449.00,Sub-Saharan Africa
India,United States,II.5. Business & Other Services,2023,425.00,South Asia
Indonesia,International Bank for Reconstruction and Development,I.5.a. Government & Civil Society-general,2023,400.00,Southeast Asia
Indonesia,Asian Development Bank,II.5. Business & Other Services,2023,400.00,Southeast Asia
Bangladesh,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,400.00,South Asia
Philippines,Asian Infrastructure Investment Bank,VI.1. General Budget Support,2023,400.00,Southeast Asia
India,Asian Development Bank,IV.2. Other Multisector,2023,400.00,South Asia
Bangladesh,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,400.00,South Asia
Philippines,Asian Infrastructure Investment Bank,II.2. Communications,2023,400.00,Southeast Asia
Bangladesh,Asian Infrastructure Investment Bank,VI.1. General Budget Support,2023,400.00,South Asia
Philippines,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,400.00,Southeast Asia
Nigeria,International Development Association,I.1.c. Secondary Education,2023,391.08,Sub-Saharan Africa
Philippines,Asian Development Bank,II.1. Transport & Storage,2023,388.08,Southeast Asia
Bangladesh,Japan,II.1. Transport & Storage,2023,383.16,South Asia
Indonesia,International Bank for Reconstruction and Development,I.2.b. Basic Health,2023,371.20,Southeast Asia
Nigeria,International Development Association,I.6. Other Social Infrastructure & Services,2023,362.09,Sub-Saharan Africa
Indonesia,Asian Development Bank,"I.2.a. Health, General",2023,361.56,Southeast Asia
Pakistan,Asian Development Bank,II.1. Transport & Storage,2023,360.00,South Asia
India,International Bank for Reconstruction and Development,"II.3.b. Energy generation, renewable sources",2023,350.36,South Asia
India,Korea,II.1. Transport & Storage,2023,350.00,South Asia
India,Germany,I.1.d. Post-Secondary Education,2023,344.48,South Asia
Ghana,IMF (Concessional Trust Funds),VI.1. General Budget Support,2023,338.41,Sub-Saharan Africa
Kenya,International Development Association,II.2. Communications,2023,330.00,Sub-Saharan Africa
Indonesia,Germany,II.3.a. Energy Policy,2023,324.39,Southeast Asia
India,United States,"II.3.b. Energy generation, renewable sources",2023,315.00,South Asia
Nigeria,International Development Association,I.6. Other Social Infrastructure & Services,2023,315.00,Sub-Saharan Africa
Philippines,Asian Development Bank,II.1. Transport & Storage,2023,306.10,Southeast Asia
Philippines,Asian Development Bank,IV.1. General Environment Protection,2023,303.24,Southeast Asia
Nigeria,International Development Association,II.3.a. Energy Policy,2023,301.00,Sub-Saharan Africa
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,300.00,South Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,300.00,South Asia
Philippines,Asian Infrastructure Investment Bank,II.4. Banking & Financial Services,2023,300.00,Southeast Asia
Philippines,Asian Development Bank,II.4. Banking & Financial Services,2023,300.00,Southeast Asia
Philippines,Asian Development Bank,I.1.d. Post-Secondary Education,2023,300.00,Southeast Asia
Bangladesh,Japan,II.1. Transport & Storage,2023,295.96,South Asia
Philippines,Japan,II.1. Transport & Storage,2023,287.64,Southeast Asia
Bangladesh,International Development Association,I.1.c. Secondary Education,2023,287.00,South Asia
Ethiopia,International Development Association,II.2. Communications,2023,284.55,Sub-Saharan Africa
India,International Bank for Reconstruction and Development,"II.3.b. Energy generation, renewable sources",2023,283.44,South Asia
India,Asian Infrastructure Investment Bank,II.1. Transport & Storage,2023,282.17,South Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,270.00,South Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,270.00,South Asia
Uzbekistan,European Bank for Reconstruction and Development,IX. Unallocated / Unspecified,2023,268.82,Central Asia
Philippines,Japan,II.1. Transport & Storage,2023,268.43,Southeast Asia
